"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"64_T"	"17173 (3938 uniques)"	"16715 (103 uniques)"	"16364 (82 uniques)"
"64c"	"29189 (10203 uniques)"	"28649 (177 uniques)"	"27048 (158 uniques)"
"64c_repeat_1_10_dilution"	"123 (109 uniques)"	"61 (6 uniques)"	"55 (6 uniques)"
"64c_repeat"	"109247 (31102 uniques)"	"107792 (421 uniques)"	"103337 (489 uniques)"
"65_AM21"	"79426 (22700 uniques)"	"76872 (786 uniques)"	"73386 (623 uniques)"
"65_T"	"14661 (2702 uniques)"	"14382 (57 uniques)"	"14145 (43 uniques)"
"65c"	"24879 (10817 uniques)"	"23962 (260 uniques)"	"22414 (274 uniques)"
"66_AM21"	"84928 (22376 uniques)"	"82378 (740 uniques)"	"78782 (606 uniques)"
"66_T"	"19452 (3592 uniques)"	"19238 (44 uniques)"	"18967 (36 uniques)"
"66c"	"23579 (8790 uniques)"	"23001 (171 uniques)"	"21668 (164 uniques)"
"67_AM21"	"39987 (9771 uniques)"	"39724 (210 uniques)"	"39184 (194 uniques)"
"67_T"	"8042 (2542 uniques)"	"7778 (65 uniques)"	"7591 (58 uniques)"
"67c"	"25711 (10708 uniques)"	"24819 (244 uniques)"	"23518 (251 uniques)"
"68_AM21"	"91904 (32150 uniques)"	"88308 (1277 uniques)"	"83210 (1039 uniques)"
"68_T"	"10004 (2260 uniques)"	"9795 (45 uniques)"	"9639 (31 uniques)"
"68c"	"14827 (5116 uniques)"	"14494 (122 uniques)"	"14086 (99 uniques)"
"69_AM21"	"104778 (30914 uniques)"	"102467 (610 uniques)"	"98193 (545 uniques)"
"69_T"	"10187 (2454 uniques)"	"9851 (70 uniques)"	"9549 (61 uniques)"
"69c"	"13617 (6004 uniques)"	"13110 (193 uniques)"	"12319 (175 uniques)"
"6_AM21"	"90066 (23618 uniques)"	"87168 (776 uniques)"	"83740 (608 uniques)"
"6_MSCAII"	"26918 (11339 uniques)"	"26269 (251 uniques)"	"25340 (254 uniques)"
