sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
36_AM21	1746	130	217	169	154	169	135	124	105	105	71	79	59	48	22	17	11	7
36_MSCAII	273	60	69	63	65	74	59	42	31	26	17	16	9	12	2	4	3	1
36_T	255	22	36	29	34	39	24	31	11	12	15	13	9	6	4	4	2	0
36c	581	65	77	71	52	65	61	36	30	39	34	32	19	11	6	5	1	1
37_AM21	1620	94	147	117	150	150	114	112	109	105	67	68	46	32	10	17	3	6
37_MSCAII	304	62	44	30	21	42	47	30	10	15	14	6	7	5	2	1	1	0
37_T	166	30	34	27	35	31	24	15	9	7	7	2	4	1	2	0	0	0
37c	482	45	54	47	43	48	31	38	26	10	16	18	7	5	5	2	0	1
38_AM21	1840	85	180	177	185	172	147	130	140	115	87	82	60	52	27	16	7	5
38_MSCAII	222	46	31	20	29	36	33	16	10	8	8	8	5	3	3	3	1	1
38_T	263	26	37	27	39	30	36	43	19	11	13	7	4	5	3	1	0	1
38c	504	51	43	38	24	35	35	25	16	17	13	16	12	4	2	6	0	0
39_AM21	823	50	87	64	83	66	56	66	53	39	47	31	30	15	11	4	5	1
39_MSCAII	297	41	41	25	25	36	41	27	21	19	12	19	7	8	4	6	0	0
39_T	150	16	19	8	11	5	6	8	5	8	0	0	0	3	0	0	0	0
39c	474	74	45	34	25	33	36	25	17	13	13	9	5	2	0	1	0	0
3_AM21	943	52	85	71	66	85	74	56	53	41	45	28	28	16	11	5	4	0
3_MSCAII	212	31	26	16	9	12	18	13	11	9	4	4	4	2	1	1	0	0
3c	713	83	81	90	56	66	78	67	42	34	44	41	17	21	10	8	1	2
3s	327	12	15	14	10	13	21	17	17	20	17	24	19	17	10	8	3	0
40_AM21	1038	42	76	79	81	59	85	55	65	47	53	47	25	23	13	11	5	1
40_MSCAII	203	48	43	24	21	26	30	14	15	16	11	13	4	10	2	1	0	0
40_T	210	25	14	12	17	9	10	5	3	6	2	2	1	2	0	0	0	0
40c	932	91	133	119	89	93	93	82	102	78	54	55	36	28	16	13	5	2
41_MSCAII	205	37	26	25	27	37	33	31	15	28	15	18	11	8	4	6	2	1
41_T	543	69	64	46	57	58	57	41	35	28	31	22	16	10	6	1	2	0
41c	940	134	133	133	85	117	101	100	89	70	54	59	51	21	10	10	2	3
